Yuan Dean Scientific Co., LTD
DC-DC CONVERTER  ATE Product Test  Type: 01D-3R3-1C-(NA052)
輸出組別 : 1OUT
客戶名稱: 達運
批號: YS11-17100029
預測數量:  1000 
輸入低電壓  :  4.75  V  
輸入正常電壓 :  24  V  
輸入高電壓  :  36  V  
測試負載  滿載 :  1  Amp輕載 :  0.1  Amp
交越測試  負載_F :  100  Amp  負載_N  :  1  Amp
記錄日期 2018/1/3 
記錄項目  ,  , 空載輸入電流_L  ,空載輸入電流_N   ,空載輸入電流_H  ,空載輸入功率_L  ,空載輸入功率_N   ,空載輸入功率_H   ,空載輸出電壓 CH1_L  ,空載輸出電壓 CH1_N   ,空載輸出電壓 CH1_H  ,空載輸出電壓 CH2_L  ,空載輸出電壓 CH2_N   ,空載輸出電壓 CH2_H   ,空載漣波雜訊CH1_L  ,空載漣波雜訊CH1_N   , 空載漣波雜訊 CH1_H  ,空載漣波雜訊CH2_L  ,空載漣波雜訊 CH2_N   ,空載漣波雜訊CH2_H   ,滿載輸入電流_L  ,滿載輸入電流_N   ,滿載輸入電流_H  ,滿載輸入功率_L  ,滿載輸入功率_N   ,滿載輸入功率_H   , 滿載輸出電壓 CH1_L  ,滿載輸出電壓 CH1_N   , 滿載輸出電壓 CH1_H  ,滿載輸出電壓 CH2_L  ,滿載輸出電壓 CH2_N   ,滿載輸出電壓 CH2_H   ,滿載漣波雜訊CH1_L  ,滿載漣波雜訊CH1_N   , 滿載漣波雜訊 CH1_H  ,滿載漣波雜訊CH2_L  ,滿載漣波雜訊 CH2_N   ,滿載漣波雜訊CH2_H   ,滿載效率_L  ,滿載效率_N  ,滿載效率_H  ,輸入電壓變動穩壓率 CH1   ,輸入電壓變動穩壓率 CH2  ,輸出負載變動穩壓率CH1_L  ,輸出負載變動穩壓率CH1_N  ,輸出負載變動穩壓率CH1_H  ,輸出負載變動穩壓率CH2_L  ,輸出負載變動穩壓率CH2_N  ,輸出負載變動穩壓率CH2_H   ,短路保護測試_L  ,短路保護測試_N   ,短路保護測試_H  ,過電流保護測試_L  ,過電流保護測試_N   ,過電流保護測試_H   ,遠端控制關機測試  ,輸出電壓整理微調正緣   ,輸出電壓整理微調負緣  ,遞減遠端控制關機測試_L  ,遞減遠端控制關機測試_N   ,遞減遠端控制關機測試_H  ,過電壓保護_L  ,過電壓保護_N   ,過電壓保護_H    ,遞減欠壓鎖定_L  ,遞增過電流保護_L  ,遞增過電流保護_N  ,遞增過電流保護_H , 遞增遠端控制開機測試_L  ,遞增遠端控制開機測試_N  ,遞增遠端控制開機測試_H  ,交越負載CH1_L  ,交越負載CH1_N  ,交越負載CH1_H  ,交越負載CH2_L  ,交越負載CH2_N  ,交越負載CH2_H  ,日期 ,時間 
  ,規格下限,0_mA  ,0_mA  ,0_mA  ,0_W  ,0_W ,0_W , 3.234  _V , 3.234 _V  , 3.234 _V  , 3.234 _V  , 3.234 _V  , 3.234 _V  ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_p-pmV , 50 _mA  , 50 _mA  , 50 _mA  , 1  _W , 1 _W  , 1 _W  , 3.234 _V  , 3.234 _V  , 3.234 _V  , 3.234 _V  , 3.234 _V  , 3.234 _V  ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_%  ,0_%  ,0_%  ,-0.3 _%  , -0.3 _%  ,-0.4 _%  ,-0.4 _%  ,-0.4 _%  ,-0.4 _%  ,-0.4 _%  ,-0.4 _%  ,LOAD ,LOAD  ,LOAD,  1.5 _A  , 1.5 _A  , 1.5 _A  ,Relay_Low ,  0 _V  , 0 _V ,St  1 _V  ,St  1 _V  ,St  1 _V  ,SwitchPower  , SwitchPower  , SwitchPower  ,St  4.75 _V ,St  1 _A,St  1 _A ,St  1 _A ,St  0.1 _V ,St  0.1 _V ,St  0.1 _V ,-1 _% ,-1 _% ,-1 _% ,-1 _% ,-1 _% ,-1 _% ,
No. ,規格上限,< 50 _mA  , < 50 _mA  ,< 50 _mA  ,< 2 _W  ,< 2 _W ,< 2 _W , 3.366  _V , 3.366 _V  , 3.366 _V  , 3.366 _V  , 3.366 _V  , 3.366 _V  ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV , 1000 _mA  , 1000 _mA  , 1000 _mA  , 10  _W , 10 _W  , 10 _W  , 3.366 _V  , 3.366 _V  , 3.366 _V  , 3.366 _V  , 3.366 _V  , 3.366 _V  ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,> 79 _%  ,> 79 _%  ,> 79 _%  , 0.3 _%  , 0.3 _%  , 0.4 _%  , 0.4 _%  , 0.4 _%  , 0.4 _%  , 0.4 _%  , 0.4 _%  ,< 500  _ mA,< 500  _ mA,< 500  _ mA,< 3.234 _V   ,< 3.234 _V   ,< 3.234 _V   ,< 1 _V  , 0 _V  , 0 _V , < End  0.1 _V  ,< End  0.1 _V  ,< End  0.1 _V  ,< 0.1 _V  ,< 0.1 _V  ,< 0.1 _V  ,< 1 _V ,< End  10 _A ,< End  10 _A ,< End  10 _A ,> End  3 _V ,> End  3 _V ,> End  3 _V , 1 _% , 1 _% , 1 _% , 1 _% , 1 _% , 1 _% ,
 3497 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.319  , 0  , 3.319  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 768.832  , 0  , 112.467  , 3.646  , 0  , 4.043  , 3.301  , 3.296  , 3.296  , 0  , 0  , 0  , 18.4  , 0  , 19.2  , 0  , 0  , 0  , 90.20845  , 0  , 81.39994  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 358.505  , 0  , 50.273  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:10:08 
 3498 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.325  , 0  , 3.325  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 769.043  , 0  , 112.578  , 3.65  , 0  , 4.047  , 3.304  , 3.299  , 3.299  , 0  , 0  , 0  , 19.2  , 0  , 19.2  , 0  , 0  , 0  , 90.30137  , 0  , 81.34421  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 344.958  , 0  , 49.209  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:10:33 
 3499 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.36  , 0  , 3.359  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 774.32  , 0  , 113.27  , 3.675  , 0  , 4.073  , 3.334  , 3.331  , 3.33  , 0  , 0  , 0  , 18.4  , 0  , 17.6  , 0  , 0  , 0  , 90.69388  , 0  , 81.5124  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 327.349  , 0  , 44.872  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:11:03 
 3500 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.323  , 0  , 3.323  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 768.972  , 0  , 112.641  , 3.647  , 0  , 4.049  , 3.304  , 3.303  , 3.301  , 0  , 0  , 0  , 20  , 0  , 19.2  , 0  , 0  , 0  , 90.26597  , 0  , 81.35342  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 331.615  , 0  , 47.599  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:11:27 
 3501 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.298  , 0  , 3.299  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 764.281  , 0  , 111.933  , 3.625  , 0  , 4.025  , 3.28  , 3.276  , 3.275  , 0  , 0  , 0  , 19.2  , 0  , 19.2  , 0  , 0  , 0  , 90.28966  , 0  , 81.36646  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 324.837  , 0  , 47.154  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:11:58 
 3502 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.315  , 0  , 3.315  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 767.255  , 0  , 112.359  , 3.641  , 0  , 4.039  , 3.296  , 3.293  , 3.293  , 0  , 0  , 0  , 17.6  , 0  , 20.8  , 0  , 0  , 0  , 90.2774  , 0  , 81.30725  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 357.084  , 0  , 52.727  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:12:21 
 3503 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.315  , 0  , 3.313  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 766.637  , 0  , 112.226  , 3.637  , 0  , 4.035  , 3.293  , 3.289  , 3.289  , 0  , 0  , 0  , 18.4  , 0  , 17.6  , 0  , 0  , 0  , 90.48666  , 0  , 81.14003  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 396.096  , 0  , 55.624  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:12:51 
 3504 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.346  , 0  , 3.348  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 772.5  , 0  , 113.001  , 3.665  , 0  , 4.063  , 3.324  , 3.323  , 3.321  , 0  , 0  , 0  , 20.8  , 0  , 19.2  , 0  , 0  , 0  , 90.36835  , 0  , 81.71301  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 298.934  , 0  , 43.672  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:13:12 
