Yuan Dean Scientific Co., LTD
DC-DC CONVERTER  ATE Product Test  Type: 01D-3R3-1C-(NA052)
輸出組別 : 1OUT
客戶名稱: 達運
批號: YS11-17100029
預測數量:  1000 
輸入低電壓  :  4.75  V  
輸入正常電壓 :  24  V  
輸入高電壓  :  36  V  
測試負載  滿載 :  1  Amp輕載 :  0.1  Amp
交越測試  負載_F :  100  Amp  負載_N  :  1  Amp
記錄日期 2018/1/3 
記錄項目  ,  , 空載輸入電流_L  ,空載輸入電流_N   ,空載輸入電流_H  ,空載輸入功率_L  ,空載輸入功率_N   ,空載輸入功率_H   ,空載輸出電壓 CH1_L  ,空載輸出電壓 CH1_N   ,空載輸出電壓 CH1_H  ,空載輸出電壓 CH2_L  ,空載輸出電壓 CH2_N   ,空載輸出電壓 CH2_H   ,空載漣波雜訊CH1_L  ,空載漣波雜訊CH1_N   , 空載漣波雜訊 CH1_H  ,空載漣波雜訊CH2_L  ,空載漣波雜訊 CH2_N   ,空載漣波雜訊CH2_H   ,滿載輸入電流_L  ,滿載輸入電流_N   ,滿載輸入電流_H  ,滿載輸入功率_L  ,滿載輸入功率_N   ,滿載輸入功率_H   , 滿載輸出電壓 CH1_L  ,滿載輸出電壓 CH1_N   , 滿載輸出電壓 CH1_H  ,滿載輸出電壓 CH2_L  ,滿載輸出電壓 CH2_N   ,滿載輸出電壓 CH2_H   ,滿載漣波雜訊CH1_L  ,滿載漣波雜訊CH1_N   , 滿載漣波雜訊 CH1_H  ,滿載漣波雜訊CH2_L  ,滿載漣波雜訊 CH2_N   ,滿載漣波雜訊CH2_H   ,滿載效率_L  ,滿載效率_N  ,滿載效率_H  ,輸入電壓變動穩壓率 CH1   ,輸入電壓變動穩壓率 CH2  ,輸出負載變動穩壓率CH1_L  ,輸出負載變動穩壓率CH1_N  ,輸出負載變動穩壓率CH1_H  ,輸出負載變動穩壓率CH2_L  ,輸出負載變動穩壓率CH2_N  ,輸出負載變動穩壓率CH2_H   ,短路保護測試_L  ,短路保護測試_N   ,短路保護測試_H  ,過電流保護測試_L  ,過電流保護測試_N   ,過電流保護測試_H   ,遠端控制關機測試  ,輸出電壓整理微調正緣   ,輸出電壓整理微調負緣  ,遞減遠端控制關機測試_L  ,遞減遠端控制關機測試_N   ,遞減遠端控制關機測試_H  ,過電壓保護_L  ,過電壓保護_N   ,過電壓保護_H    ,遞減欠壓鎖定_L  ,遞增過電流保護_L  ,遞增過電流保護_N  ,遞增過電流保護_H , 遞增遠端控制開機測試_L  ,遞增遠端控制開機測試_N  ,遞增遠端控制開機測試_H  ,交越負載CH1_L  ,交越負載CH1_N  ,交越負載CH1_H  ,交越負載CH2_L  ,交越負載CH2_N  ,交越負載CH2_H  ,日期 ,時間 
 3505 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.309  , 0  , 3.309  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 766.038  , 0  , 112.673  , 3.636  , 0  , 4.05  , 3.291  , 3.288  , 3.286  , 0  , 0  , 0  , 19.2  , 0  , 20.8  , 0  , 0  , 0  , 90.18152  , 0  , 81.11111  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 335.217  , 0  , 49.817  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:13:33 
 3506 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.345  , 0  , 3.348  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 773.675  , 0  , 113.248  , 3.672  , 0  , 4.072  , 3.329  , 3.326  , 3.326  , 0  , 0  , 0  , 19.2  , 0  , 20.8  , 0  , 0  , 0  , 90.25054  , 0  , 81.58154  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 354.68  , 0  , 51.717  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:13:55 
 3507 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.351  , 0  , 3.351  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 774.668  , 0  , 113.466  , 3.676  , 0  , 4.079  , 3.333  , 3.326  , 3.326  , 0  , 0  , 0  , 20  , 0  , 18.4  , 0  , 0  , 0  , 90.50598  , 0  , 81.56411  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 358.127  , 0  , 52.406  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:14:16 
 3508 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.348  , 0  , 3.348  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 773.974  , 0  , 113.304  , 3.672  , 0  , 4.074  , 3.329  , 3.326  , 3.326  , 0  , 0  , 0  , 20  , 0  , 20  , 0  , 0  , 0  , 90.63181  , 0  , 81.68876  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 327.251  , 0  , 46.759  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:14:37 
 3509 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.32  , 0  , 3.32  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 768.17  , 0  , 112.588  , 3.646  , 0  , 4.047  , 3.3  , 3.296  , 3.294  , 0  , 0  , 0  , 19.2  , 0  , 18.4  , 0  , 0  , 0  , 90.56501  , 0  , 81.14653  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 312.535  , 0  , 45.434  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:14:58 
 3510 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.31  , 0  , 3.31  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 766.689  , 0  , 112.543  , 3.638  , 0  , 4.046  , 3.294  , 3.29  , 3.291  , 0  , 0  , 0  , 20  , 0  , 20.8  , 0  , 0  , 0  , 90.26938  , 0  , 81.24073  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 362.19  , 0  , 53.125  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:15:21 
 3511 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.328  , 0  , 3.328  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 769.743  , 0  , 112.876  , 3.654  , 0  , 4.058  , 3.306  , 3.304  , 3.304  , 0  , 0  , 0  , 20.8  , 0  , 19.2  , 0  , 0  , 0  , 90.20251  , 0  , 81.1237  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 340.401  , 0  , 48.2  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:15:43 
 3512 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.35  , 0  , 3.35  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 775.35  , 0  , 113.384  , 3.678  , 0  , 4.077  , 3.333  , 3.33  , 3.33  , 0  , 0  , 0  , 20  , 0  , 20  , 0  , 0  , 0  , 90.67428  , 0  , 81.43242  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 377.979  , 0  , 54.166  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:16:06 
 3513 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.338  , 0  , 3.34  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 772.037  , 0  , 112.892  , 3.662  , 0  , 4.06  , 3.319  , 3.315  , 3.315  , 0  , 0  , 0  , 19.2  , 0  , 17.6  , 0  , 0  , 0  , 90.38776  , 0  , 81.42857  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 355.522  , 0  , 52.009  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:16:27 
 3514 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.319  , 0  , 3.318  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 767.719  , 0  , 112.466  , 3.642  , 0  , 4.044  , 3.298  , 3.293  , 3.291  , 0  , 0  , 0  , 18.4  , 0  , 20  , 0  , 0  , 0  , 90.44481  , 0  , 81.28091  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 371.796  , 0  , 55.796  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:16:47 
 3515 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.354  , 0  , 3.354  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 775.697  , 0  , 113.642  , 3.681  , 0  , 4.087  , 3.338  , 3.333  , 3.334  , 0  , 0  , 0  , 18.4  , 0  , 20.8  , 0  , 0  , 0  , 90.60038  , 0  , 81.57573  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 365.989  , 0  , 53.971  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:17:07 
 3516 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.331  , 0  , 3.331  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 770.584  , 0  , 112.635  , 3.656  , 0  , 4.05  , 3.31  , 3.309  , 3.308  , 0  , 0  , 0  , 19.2  , 0  , 20.8  , 0  , 0  , 0  , 90.37199  , 0  , 81.60493  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 389.465  , 0  , 55.733  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:17:28 
 3517 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.341  , 0  , 3.341  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 772.237  , 0  , 113.001  , 3.667  , 0  , 4.063  , 3.323  , 3.32  , 3.319  , 0  , 0  , 0  , 20.8  , 0  , 18.4  , 0  , 0  , 0  , 90.31906  , 0  , 81.63918  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 389.516  , 0  , 56.53  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:18:22 
 3518 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.293  , 0  , 3.293  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 762.728  , 0  , 111.703  , 3.621  , 0  , 4.017  , 3.275  , 3.273  , 3.27  , 0  , 0  , 0  , 19.2  , 0  , 16.8  , 0  , 0  , 0  , 90.27893  , 0  , 81.42892  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 342.541  , 0  , 48.622  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:18:47 
 3519 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.293  , 0  , 3.294  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 764.225  , 0  , 112.125  , 3.623  , 0  , 4.031  , 3.276  , 3.273  , 3.274  , 0  , 0  , 0  , 20.8  , 0  , 18.4  , 0  , 0  , 0  , 90.3395  , 0  , 81.14611  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 336.039  , 0  , 51.5  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:30:01 
 3520 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.324  , 0  , 3.324  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 769.343  , 0  , 112.628  , 3.649  , 0  , 4.049  , 3.305  , 3.303  , 3.303  , 0  , 0  , 0  , 17.6  , 0  , 17.6  , 0  , 0  , 0  , 90.38093  , 0  , 81.35342  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 342.533  , 0  , 47.231  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:30:35 
 3521 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.275  , 0  , 3.276  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 758.848  , 0  , 111.514  , 3.6  , 0  , 4.009  , 3.258  , 3.254  , 3.251  , 0  , 0  , 0  , 18.4  , 0  , 17.6  , 0  , 0  , 0  , 90.33334  , 0  , 81.04266  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 312.996  , 0  , 45.941  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:30:56 
 3522 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.295  , 0  , 3.296  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 764.298  , 0  , 111.848  , 3.626  , 0  , 4.023  , 3.279  , 3.275  , 3.275  , 0  , 0  , 0  , 19.2  , 0  , 19.2  , 0  , 0  , 0  , 90.37507  , 0  , 81.25777  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 354.659  , 0  , 49.982  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:31:17 
 3523 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.323  , 0  , 3.323  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 769.067  , 0  , 112.59  , 3.65  , 0  , 4.048  , 3.303  , 3.3  , 3.298  , 0  , 0  , 0  , 18.4  , 0  , 20  , 0  , 0  , 0  , 90.35616  , 0  , 81.1759  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 346.029  , 0  , 49.287  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:31:38 
