Yuan Dean Scientific Co., LTD
DC-DC CONVERTER  ATE Product Test  Type: 01D-3R3-1C-(NA052)
輸出組別 : 1OUT
客戶名稱: 達運
批號: YS11-17110027
預測數量:  1000 
輸入低電壓  :  4.75  V  
輸入正常電壓 :  24  V  
輸入高電壓  :  36  V  
測試負載  滿載 :  1  Amp輕載 :  0.1  Amp
交越測試  負載_F :  100  Amp  負載_N  :  1  Amp
記錄日期 2018/1/2 
記錄項目  ,  , 空載輸入電流_L  ,空載輸入電流_N   ,空載輸入電流_H  ,空載輸入功率_L  ,空載輸入功率_N   ,空載輸入功率_H   ,空載輸出電壓 CH1_L  ,空載輸出電壓 CH1_N   ,空載輸出電壓 CH1_H  ,空載輸出電壓 CH2_L  ,空載輸出電壓 CH2_N   ,空載輸出電壓 CH2_H   ,空載漣波雜訊CH1_L  ,空載漣波雜訊CH1_N   , 空載漣波雜訊 CH1_H  ,空載漣波雜訊CH2_L  ,空載漣波雜訊 CH2_N   ,空載漣波雜訊CH2_H   ,滿載輸入電流_L  ,滿載輸入電流_N   ,滿載輸入電流_H  ,滿載輸入功率_L  ,滿載輸入功率_N   ,滿載輸入功率_H   , 滿載輸出電壓 CH1_L  ,滿載輸出電壓 CH1_N   , 滿載輸出電壓 CH1_H  ,滿載輸出電壓 CH2_L  ,滿載輸出電壓 CH2_N   ,滿載輸出電壓 CH2_H   ,滿載漣波雜訊CH1_L  ,滿載漣波雜訊CH1_N   , 滿載漣波雜訊 CH1_H  ,滿載漣波雜訊CH2_L  ,滿載漣波雜訊 CH2_N   ,滿載漣波雜訊CH2_H   ,滿載效率_L  ,滿載效率_N  ,滿載效率_H  ,輸入電壓變動穩壓率 CH1   ,輸入電壓變動穩壓率 CH2  ,輸出負載變動穩壓率CH1_L  ,輸出負載變動穩壓率CH1_N  ,輸出負載變動穩壓率CH1_H  ,輸出負載變動穩壓率CH2_L  ,輸出負載變動穩壓率CH2_N  ,輸出負載變動穩壓率CH2_H   ,短路保護測試_L  ,短路保護測試_N   ,短路保護測試_H  ,過電流保護測試_L  ,過電流保護測試_N   ,過電流保護測試_H   ,遠端控制關機測試  ,輸出電壓整理微調正緣   ,輸出電壓整理微調負緣  ,遞減遠端控制關機測試_L  ,遞減遠端控制關機測試_N   ,遞減遠端控制關機測試_H  ,過電壓保護_L  ,過電壓保護_N   ,過電壓保護_H    ,遞減欠壓鎖定_L  ,遞增過電流保護_L  ,遞增過電流保護_N  ,遞增過電流保護_H , 遞增遠端控制開機測試_L  ,遞增遠端控制開機測試_N  ,遞增遠端控制開機測試_H  ,交越負載CH1_L  ,交越負載CH1_N  ,交越負載CH1_H  ,交越負載CH2_L  ,交越負載CH2_N  ,交越負載CH2_H  ,日期 ,時間 
 800 ,PASS ,  1.664  , 0  , 1.107  , 0.008  , 0  , 0.039  , 3.325  , 0  , 3.325  , 0  , 0  , 0  , 6.4  , 0  , 9.6  , 0  , 0  , 0  , 768.072  , 0  , 112.333  , 3.647  , 0  , 4.039  , 3.304  , 3.301  , 3.3  , 0  , 0  , 0  , 18.4  , 0  , 20  , 0  , 0  , 0  , 90.64985  , 0  , 81.62911  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 405.908  , 0  , 58.561  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:28:42 
 801 ,PASS ,  1.535  , 0  , 1.086  , 0.007  , 0  , 0.04  , 3.32  , 0  , 3.321  , 0  , 0  , 0  , 5.6  , 0  , 10.4  , 0  , 0  , 0  , 769.116  , 0  , 112.666  , 3.649  , 0  , 4.051  , 3.304  , 3.3  , 3.3  , 0  , 0  , 0  , 17.6  , 0  , 18.4  , 0  , 0  , 0  , 90.43574  , 0  , 81.51073  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 327.545  , 0  , 45.684  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:29:07 
 802 ,PASS ,  1.577  , 0  , 1.144  , 0.007  , 0  , 0.04  , 3.345  , 0  , 3.344  , 0  , 0  , 0  , 6.4  , 0  , 12  , 0  , 0  , 0  , 773.095  , 0  , 113.31  , 3.668  , 0  , 4.074  , 3.326  , 3.324  , 3.321  , 0  , 0  , 0  , 18.4  , 0  , 17.6  , 0  , 0  , 0  , 90.45802  , 0  , 81.17329  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 393.841  , 0  , 57.014  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:29:30 
 803 ,PASS ,  1.685  , 0  , 1.136  , 0.008  , 0  , 0.04  , 3.316  , 0  , 3.316  , 0  , 0  , 0  , 6.4  , 0  , 11.2  , 0  , 0  , 0  , 767.62  , 0  , 112.531  , 3.643  , 0  , 4.045  , 3.3  , 3.298  , 3.295  , 0  , 0  , 0  , 16.8  , 0  , 19.2  , 0  , 0  , 0  , 90.69448  , 0  , 81.43387  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 332.269  , 0  , 48.697  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:29:54 
 804 ,PASS ,  1.569  , 0  , 1.107  , 0.007  , 0  , 0.039  , 3.306  , 0  , 3.306  , 0  , 0  , 0  , 5.6  , 0  , 10.4  , 0  , 0  , 0  , 765.494  , 0  , 111.824  , 3.631  , 0  , 4.019  , 3.286  , 3.279  , 3.278  , 0  , 0  , 0  , 18.4  , 0  , 19.2  , 0  , 0  , 0  , 90.19554  , 0  , 81.56258  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 363.289  , 0  , 51.999  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:30:18 
 805 ,PASS ,  1.595  , 0  , 1.1  , 0.007  , 0  , 0.04  , 3.35  , 0  , 3.35  , 0  , 0  , 0  , 7.2  , 0  , 10.4  , 0  , 0  , 0  , 774.291  , 0  , 113.355  , 3.673  , 0  , 4.076  , 3.333  , 3.33  , 3.33  , 0  , 0  , 0  , 18.4  , 0  , 17.6  , 0  , 0  , 0  , 90.52545  , 0  , 81.55053  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 437.997  , 0  , 63.379  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:30:42 
 806 ,PASS ,  1.561  , 0  , 1.115  , 0.007  , 0  , 0.04  , 3.298  , 0  , 3.298  , 0  , 0  , 0  , 6.4  , 0  , 9.6  , 0  , 0  , 0  , 763.927  , 0  , 111.718  , 3.626  , 0  , 4.016  , 3.28  , 3.276  , 3.276  , 0  , 0  , 0  , 19.2  , 0  , 18.4  , 0  , 0  , 0  , 90.18202  , 0  , 81.39941  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 405.512  , 0  , 57.933  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:31:06 
 807 ,PASS ,  1.615  , 0  , 1.116  , 0.008  , 0  , 0.04  , 3.326  , 0  , 3.325  , 0  , 0  , 0  , 5.6  , 0  , 11.2  , 0  , 0  , 0  , 769.428  , 0  , 112.492  , 3.652  , 0  , 4.046  , 3.309  , 3.305  , 3.305  , 0  , 0  , 0  , 19.2  , 0  , 18.4  , 0  , 0  , 0  , 90.30669  , 0  , 81.53732  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 384.928  , 0  , 55.642  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:31:30 
 808 ,PASS ,  1.58  , 0  , 1.125  , 0.007  , 0  , 0.04  , 3.339  , 0  , 3.339  , 0  , 0  , 0  , 6.4  , 0  , 11.2  , 0  , 0  , 0  , 771.04  , 0  , 113.023  , 3.661  , 0  , 4.065  , 3.32  , 3.316  , 3.316  , 0  , 0  , 0  , 18.4  , 0  , 18.4  , 0  , 0  , 0  , 90.52171  , 0  , 81.52522  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 347.583  , 0  , 51.159  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:31:54 
 809 ,PASS ,  1.633  , 0  , 1.104  , 0.008  , 0  , 0.04  , 3.335  , 0  , 3.335  , 0  , 0  , 0  , 6.4  , 0  , 10.4  , 0  , 0  , 0  , 770.816  , 0  , 112.781  , 3.659  , 0  , 4.056  , 3.319  , 3.313  , 3.313  , 0  , 0  , 0  , 17.6  , 0  , 19.2  , 0  , 0  , 0  , 90.59853  , 0  , 81.58283  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 328.112  , 0  , 46.264  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:32:19 
 810 ,PASS ,  1.573  , 0  , 1.114  , 0.008  , 0  , 0.039  , 3.339  , 0  , 3.34  , 0  , 0  , 0  , 6.4  , 0  , 10.4  , 0  , 0  , 0  , 771.324  , 0  , 112.972  , 3.661  , 0  , 4.062  , 3.318  , 3.315  , 3.315  , 0  , 0  , 0  , 19.2  , 0  , 19.2  , 0  , 0  , 0  , 90.46709  , 0  , 81.46234  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 367.93  , 0  , 51.407  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:32:43 
 811 ,PASS ,  1.546  , 0  , 1.108  , 0.007  , 0  , 0.039  , 3.303  , 0  , 3.304  , 0  , 0  , 0  , 6.4  , 0  , 10.4  , 0  , 0  , 0  , 765.049  , 0  , 112.161  , 3.631  , 0  , 4.034  , 3.285  , 3.28  , 3.283  , 0  , 0  , 0  , 19.2  , 0  , 18.4  , 0  , 0  , 0  , 90.38832  , 0  , 81.06098  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 358.735  , 0  , 53.634  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:33:07 
 812 ,PASS ,  1.604  , 0  , 1.131  , 0.008  , 0  , 0.04  , 3.33  , 0  , 3.33  , 0  , 0  , 0  , 6.4  , 0  , 11.2  , 0  , 0  , 0  , 769.868  , 0  , 112.914  , 3.655  , 0  , 4.06  , 3.313  , 3.309  , 3.31  , 0  , 0  , 0  , 17.6  , 0  , 16.8  , 0  , 0  , 0  , 90.58824  , 0  , 81.30542  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 343.958  , 0  , 49.902  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:33:33 
 813 ,PASS ,  1.622  , 0  , 1.161  , 0.008  , 0  , 0.041  , 3.358  , 0  , 3.358  , 0  , 0  , 0  , 5.6  , 0  , 10.4  , 0  , 0  , 0  , 775.175  , 0  , 113.651  , 3.68  , 0  , 4.086  , 3.338  , 3.334  , 3.334  , 0  , 0  , 0  , 17.6  , 0  , 18.4  , 0  , 0  , 0  , 90.54348  , 0  , 81.91385  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 375.911  , 0  , 54.16  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:33:56 
 814 ,PASS ,  1.566  , 0  , 1.132  , 0.007  , 0  , 0.041  , 3.33  , 0  , 3.33  , 0  , 0  , 0  , 6.4  , 0  , 10.4  , 0  , 0  , 0  , 770.518  , 0  , 112.838  , 3.657  , 0  , 4.057  , 3.313  , 3.31  , 3.309  , 0  , 0  , 0  , 17.6  , 0  , 18.4  , 0  , 0  , 0  , 90.59338  , 0  , 81.39019  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 383.427  , 0  , 54.776  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:34:20 
 815 ,PASS ,  1.59  , 0  , 1.126  , 0.008  , 0  , 0.041  , 3.354  , 0  , 3.353  , 0  , 0  , 0  , 5.6  , 0  , 11.2  , 0  , 0  , 0  , 775.438  , 0  , 113.523  , 3.679  , 0  , 4.082  , 3.338  , 3.334  , 3.333  , 0  , 0  , 0  , 19.2  , 0  , 17.6  , 0  , 0  , 0  , 90.37782  , 0  , 81.65115  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 349.314  , 0  , 52.565  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:34:43 
 816 ,PASS ,  1.56  , 0  , 1.122  , 0.007  , 0  , 0.04  , 3.3  , 0  , 3.3  , 0  , 0  , 0  , 5.6  , 0  , 10.4  , 0  , 0  , 0  , 763.92  , 0  , 111.762  , 3.626  , 0  , 4.018  , 3.28  , 3.278  , 3.276  , 0  , 0  , 0  , 18.4  , 0  , 18.4  , 0  , 0  , 0  , 90.12686  , 0  , 81.48332  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 341.042  , 0  , 48.264  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:35:07 
 817 ,PASS ,  1.609  , 0  , 1.114  , 0.008  , 0  , 0.04  , 3.339  , 0  , 3.34  , 0  , 0  , 0  , 5.6  , 0  , 11.2  , 0  , 0  , 0  , 771.79  , 0  , 112.969  , 3.664  , 0  , 4.063  , 3.323  , 3.319  , 3.319  , 0  , 0  , 0  , 18.4  , 0  , 18.4  , 0  , 0  , 0  , 90.63865  , 0  , 81.6884  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 408.555  , 0  , 58.361  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:35:30 
 818 ,PASS ,  1.593  , 0  , 1.109  , 0.008  , 0  , 0.041  , 3.339  , 0  , 3.34  , 0  , 0  , 0  , 7.2  , 0  , 11.2  , 0  , 0  , 0  , 771.826  , 0  , 112.975  , 3.665  , 0  , 4.062  , 3.323  , 3.321  , 3.32  , 0  , 0  , 0  , 18.4  , 0  , 17.6  , 0  , 0  , 0  , 90.55935  , 0  , 81.68391  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 409.659  , 0  , 61.252  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:35:54 
 819 ,PASS ,  1.556  , 0  , 1.125  , 0.007  , 0  , 0.039  , 3.311  , 0  , 3.31  , 0  , 0  , 0  , 6.4  , 0  , 9.6  , 0  , 0  , 0  , 766.945  , 0  , 112.219  , 3.639  , 0  , 4.035  , 3.295  , 3.291  , 3.29  , 0  , 0  , 0  , 18.4  , 0  , 18.4  , 0  , 0  , 0  , 90.54686  , 0  , 81.48699  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 367.636  , 0  , 53.191  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:36:22 
 820 ,PASS ,  1.583  , 0  , 1.111  , 0.008  , 0  , 0.04  , 3.34  , 0  , 3.339  , 0  , 0  , 0  , 6.4  , 0  , 11.2  , 0  , 0  , 0  , 772.628  , 0  , 113.092  , 3.665  , 0  , 4.066  , 3.321  , 3.32  , 3.318  , 0  , 0  , 0  , 18.4  , 0  , 19.2  , 0  , 0  , 0  , 90.55935  , 0  , 81.28382  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 391.717  , 0  , 55.358  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:36:47 
 821 ,PASS ,  1.643  , 0  , 1.11  , 0.008  , 0  , 0.04  , 3.324  , 0  , 3.324  , 0  , 0  , 0  , 6.4  , 0  , 12  , 0  , 0  , 0  , 768.676  , 0  , 112.595  , 3.647  , 0  , 4.047  , 3.304  , 3.301  , 3.299  , 0  , 0  , 0  , 17.6  , 0  , 18.4  , 0  , 0  , 0  , 90.43049  , 0  , 81.46775  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 361.547  , 0  , 53.275  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:37:11 
 822 ,PASS ,  1.562  , 0  , 1.099  , 0.007  , 0  , 0.039  , 3.319  , 0  , 3.32  , 0  , 0  , 0  , 7.2  , 0  , 10.4  , 0  , 0  , 0  , 768.04  , 0  , 112.492  , 3.648  , 0  , 4.046  , 3.301  , 3.299  , 3.298  , 0  , 0  , 0  , 18.4  , 0  , 18.4  , 0  , 0  , 0  , 90.54276  , 0  , 81.33959  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 371.538  , 0  , 52.551  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:37:34 
 823 ,PASS ,  1.608  , 0  , 1.119  , 0.008  , 0  , 0.04  , 3.356  , 0  , 3.356  , 0  , 0  , 0  , 6.4  , 0  , 10.4  , 0  , 0  , 0  , 775.151  , 0  , 113.252  , 3.679  , 0  , 4.073  , 3.336  , 3.333  , 3.331  , 0  , 0  , 0  , 18.4  , 0  , 19.2  , 0  , 0  , 0  , 90.48655  , 0  , 81.75792  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 354.109  , 0  , 48.758  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:37:59 
 824 ,PASS ,  1.613  , 0  , 1.136  , 0.008  , 0  , 0.039  , 3.344  , 0  , 3.345  , 0  , 0  , 0  , 5.6  , 0  , 11.2  , 0  , 0  , 0  , 772.533  , 0  , 113.086  , 3.665  , 0  , 4.066  , 3.324  , 3.321  , 3.32  , 0  , 0  , 0  , 17.6  , 0  , 18.4  , 0  , 0  , 0  , 90.45021  , 0  , 81.50517  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 356.331  , 0  , 51.701  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:38:26 
 825 ,PASS ,  1.713  , 0  , 1.127  , 0.008  , 0  , 0.04  , 3.348  , 0  , 3.346  , 0  , 0  , 0  , 6.4  , 0  , 11.2  , 0  , 0  , 0  , 773.359  , 0  , 113.289  , 3.673  , 0  , 4.074  , 3.33  , 3.326  , 3.326  , 0  , 0  , 0  , 18.4  , 0  , 19.2  , 0  , 0  , 0  , 90.3621  , 0  , 81.36967  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 341.309  , 0  , 48.252  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:38:53 
 826 ,PASS ,  1.563  , 0  , 1.101  , 0.007  , 0  , 0.04  , 3.338  , 0  , 3.339  , 0  , 0  , 0  , 7.2  , 0  , 11.2  , 0  , 0  , 0  , 772.52  , 0  , 113.052  , 3.666  , 0  , 4.066  , 3.32  , 3.319  , 3.318  , 0  , 0  , 0  , 20  , 0  , 18.4  , 0  , 0  , 0  , 90.53465  , 0  , 81.45598  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 416.349  , 0  , 59.362  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:39:17 
 827 ,PASS ,  1.588  , 0  , 1.119  , 0.008  , 0  , 0.039  , 3.33  , 0  , 3.33  , 0  , 0  , 0  , 5.6  , 0  , 11.2  , 0  , 0  , 0  , 770.106  , 0  , 112.941  , 3.655  , 0  , 4.062  , 3.31  , 3.308  , 3.308  , 0  , 0  , 0  , 18.4  , 0  , 19.2  , 0  , 0  , 0  , 90.342  , 0  , 81.16692  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 283.423  , 0  , 38.871  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:39:41 
 828 ,PASS ,  1.567  , 0  , 1.124  , 0.007  , 0  , 0.039  , 3.343  , 0  , 3.343  , 0  , 0  , 0  , 6.4  , 0  , 12  , 0  , 0  , 0  , 772.267  , 0  , 113  , 3.667  , 0  , 4.063  , 3.325  , 3.32  , 3.321  , 0  , 0  , 0  , 17.6  , 0  , 19.2  , 0  , 0  , 0  , 90.50995  , 0  , 81.58996  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 359.904  , 0  , 51.979  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:40:04 
 829 ,PASS ,  1.946  , 0  , 1.116  , 0.009  , 0  , 0.039  , 3.356  , 0  , 3.358  , 0  , 0  , 0  , 6.4  , 0  , 10.4  , 0  , 0  , 0  , 774.239  , 0  , 113.419  , 3.677  , 0  , 4.079  , 3.336  , 3.333  , 3.331  , 0  , 0  , 0  , 19.2  , 0  , 18.4  , 0  , 0  , 0  , 90.53576  , 0  , 81.63766  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 337.168  , 0  , 47.152  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:40:28 
 830 ,PASS ,  1.608  , 0  , 1.12  , 0.008  , 0  , 0.039  , 3.33  , 0  , 3.331  , 0  , 0  , 0  , 5.6  , 0  , 11.2  , 0  , 0  , 0  , 770.337  , 0  , 112.87  , 3.658  , 0  , 4.057  , 3.311  , 3.308  , 3.306  , 0  , 0  , 0  , 17.6  , 0  , 17.6  , 0  , 0  , 0  , 90.29524  , 0  , 81.34089  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 310.337  , 0  , 42.474  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:40:55 
 831 ,PASS ,  1.688  , 0  , 1.116  , 0.008  , 0  , 0.039  , 3.343  , 0  , 3.343  , 0  , 0  , 0  , 5.6  , 0  , 11.2  , 0  , 0  , 0  , 773.155  , 0  , 113.251  , 3.67  , 0  , 4.072  , 3.325  , 3.321  , 3.321  , 0  , 0  , 0  , 17.6  , 0  , 18.4  , 0  , 0  , 0  , 90.5722  , 0  , 81.36051  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 383.963  , 0  , 57.233  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:41:20 
 832 ,PASS ,  1.58  , 0  , 1.11  , 0.007  , 0  , 0.04  , 3.348  , 0  , 3.348  , 0  , 0  , 0  , 6.4  , 0  , 9.6  , 0  , 0  , 0  , 772.491  , 0  , 113.302  , 3.669  , 0  , 4.073  , 3.326  , 3.325  , 3.324  , 0  , 0  , 0  , 19.2  , 0  , 18.4  , 0  , 0  , 0  , 90.59689  , 0  , 81.58605  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 375.101  , 0  , 54.528  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 11:41:45 
