Yuan Dean Scientific Co., LTD
DC-DC CONVERTER  ATE Product Test  Type: 01D-3R3-1C-(NA052)
輸出組別 : 1OUT
客戶名稱: 達運
批號: YS11-17110027
預測數量:  1000 
輸入低電壓  :  4.75  V  
輸入正常電壓 :  24  V  
輸入高電壓  :  36  V  
測試負載  滿載 :  1  Amp輕載 :  0.1  Amp
交越測試  負載_F :  100  Amp  負載_N  :  1  Amp
記錄日期 2018/1/2 
記錄項目  ,  , 空載輸入電流_L  ,空載輸入電流_N   ,空載輸入電流_H  ,空載輸入功率_L  ,空載輸入功率_N   ,空載輸入功率_H   ,空載輸出電壓 CH1_L  ,空載輸出電壓 CH1_N   ,空載輸出電壓 CH1_H  ,空載輸出電壓 CH2_L  ,空載輸出電壓 CH2_N   ,空載輸出電壓 CH2_H   ,空載漣波雜訊CH1_L  ,空載漣波雜訊CH1_N   , 空載漣波雜訊 CH1_H  ,空載漣波雜訊CH2_L  ,空載漣波雜訊 CH2_N   ,空載漣波雜訊CH2_H   ,滿載輸入電流_L  ,滿載輸入電流_N   ,滿載輸入電流_H  ,滿載輸入功率_L  ,滿載輸入功率_N   ,滿載輸入功率_H   , 滿載輸出電壓 CH1_L  ,滿載輸出電壓 CH1_N   , 滿載輸出電壓 CH1_H  ,滿載輸出電壓 CH2_L  ,滿載輸出電壓 CH2_N   ,滿載輸出電壓 CH2_H   ,滿載漣波雜訊CH1_L  ,滿載漣波雜訊CH1_N   , 滿載漣波雜訊 CH1_H  ,滿載漣波雜訊CH2_L  ,滿載漣波雜訊 CH2_N   ,滿載漣波雜訊CH2_H   ,滿載效率_L  ,滿載效率_N  ,滿載效率_H  ,輸入電壓變動穩壓率 CH1   ,輸入電壓變動穩壓率 CH2  ,輸出負載變動穩壓率CH1_L  ,輸出負載變動穩壓率CH1_N  ,輸出負載變動穩壓率CH1_H  ,輸出負載變動穩壓率CH2_L  ,輸出負載變動穩壓率CH2_N  ,輸出負載變動穩壓率CH2_H   ,短路保護測試_L  ,短路保護測試_N   ,短路保護測試_H  ,過電流保護測試_L  ,過電流保護測試_N   ,過電流保護測試_H   ,遠端控制關機測試  ,輸出電壓整理微調正緣   ,輸出電壓整理微調負緣  ,遞減遠端控制關機測試_L  ,遞減遠端控制關機測試_N   ,遞減遠端控制關機測試_H  ,過電壓保護_L  ,過電壓保護_N   ,過電壓保護_H    ,遞減欠壓鎖定_L  ,遞增過電流保護_L  ,遞增過電流保護_N  ,遞增過電流保護_H , 遞增遠端控制開機測試_L  ,遞增遠端控制開機測試_N  ,遞增遠端控制開機測試_H  ,交越負載CH1_L  ,交越負載CH1_N  ,交越負載CH1_H  ,交越負載CH2_L  ,交越負載CH2_N  ,交越負載CH2_H  ,日期 ,時間 
 433 ,PASS ,  1.402  , 0  , 0.928  , 0.007  , 0  , 0.033  , 3.3  , 0  , 3.3  , 0  , 0  , 0  , 7.2  , 0  , 10.4  , 0  , 0  , 0  , 764.086  , 0  , 111.585  , 3.629  , 0  , 4.014  , 3.284  , 3.28  , 3.279  , 0  , 0  , 0  , 17.6  , 0  , 18.4  , 0  , 0  , 0  , 90.63103  , 0  , 81.61435  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 420.85  , 0  , 59.229  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:28:46 
 434 ,PASS ,  1.391  , 0  , 0.923  , 0.007  , 0  , 0.033  , 3.346  , 0  , 3.346  , 0  , 0  , 0  , 6.4  , 0  , 9.6  , 0  , 0  , 0  , 772.757  , 0  , 112.931  , 3.669  , 0  , 4.062  , 3.329  , 3.325  , 3.325  , 0  , 0  , 0  , 18.4  , 0  , 20  , 0  , 0  , 0  , 90.54238  , 0  , 81.75776  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 356.838  , 0  , 51.393  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:29:13 
 435 ,PASS ,  1.35  , 0  , 0.926  , 0.006  , 0  , 0.033  , 3.285  , 0  , 3.285  , 0  , 0  , 0  , 6.4  , 0  , 11.2  , 0  , 0  , 0  , 761.058  , 0  , 111.469  , 3.614  , 0  , 4.009  , 3.269  , 3.266  , 3.265  , 0  , 0  , 0  , 19.2  , 0  , 20  , 0  , 0  , 0  , 90.23242  , 0  , 81.41682  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 411.6  , 0  , 58.962  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:29:38 
 436 ,PASS ,  1.411  , 0  , 0.933  , 0.007  , 0  , 0.034  , 3.353  , 0  , 3.354  , 0  , 0  , 0  , 6.4  , 0  , 10.4  , 0  , 0  , 0  , 774.009  , 0  , 113.267  , 3.675  , 0  , 4.074  , 3.335  , 3.333  , 3.33  , 0  , 0  , 0  , 19.2  , 0  , 19.2  , 0  , 0  , 0  , 90.80272  , 0  , 81.66422  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 404.232  , 0  , 57.933  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:30:02 
 437 ,PASS ,  1.397  , 0  , 0.938  , 0.007  , 0  , 0.034  , 3.358  , 0  , 3.359  , 0  , 0  , 0  , 7.2  , 0  , 11.2  , 0  , 0  , 0  , 774.865  , 0  , 113.261  , 3.68  , 0  , 4.073  , 3.341  , 3.339  , 3.339  , 0  , 0  , 0  , 18.4  , 0  , 19.2  , 0  , 0  , 0  , 90.67934  , 0  , 81.92978  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 390.475  , 0  , 54.567  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:30:28 
 438 ,PASS ,  1.388  , 0  , 0.98  , 0.007  , 0  , 0.034  , 3.343  , 0  , 3.344  , 0  , 0  , 0  , 5.6  , 0  , 11.2  , 0  , 0  , 0  , 771.309  , 0  , 113.149  , 3.666  , 0  , 4.069  , 3.324  , 3.321  , 3.32  , 0  , 0  , 0  , 17.6  , 0  , 19.2  , 0  , 0  , 0  , 90.3437  , 0  , 81.51881  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 393.623  , 0  , 55.973  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:30:51 
 439 ,PASS ,  1.432  , 0  , 0.948  , 0.007  , 0  , 0.034  , 3.321  , 0  , 3.32  , 0  , 0  , 0  , 7.2  , 0  , 10.4  , 0  , 0  , 0  , 766.901  , 0  , 112.355  , 3.641  , 0  , 4.042  , 3.299  , 3.298  , 3.296  , 0  , 0  , 0  , 20  , 0  , 22.4  , 0  , 0  , 0  , 90.38725  , 0  , 81.44483  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 384.574  , 0  , 54.981  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:31:14 
 440 ,PASS ,  1.546  , 0  , 0.974  , 0.007  , 0  , 0.034  , 3.351  , 0  , 3.351  , 0  , 0  , 0  , 6.4  , 0  , 9.6  , 0  , 0  , 0  , 772.163  , 0  , 113.128  , 3.668  , 0  , 4.069  , 3.329  , 3.325  , 3.325  , 0  , 0  , 0  , 18.4  , 0  , 20  , 0  , 0  , 0  , 90.56707  , 0  , 81.66626  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 369.893  , 0  , 54.862  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:31:39 
 441 ,PASS ,  1.469  , 0  , 0.947  , 0.007  , 0  , 0.034  , 3.31  , 0  , 3.31  , 0  , 0  , 0  , 6.4  , 0  , 10.4  , 0  , 0  , 0  , 765.151  , 0  , 111.873  , 3.636  , 0  , 4.024  , 3.291  , 3.288  , 3.288  , 0  , 0  , 0  , 19.2  , 0  , 17.6  , 0  , 0  , 0  , 90.42905  , 0  , 81.43638  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 390.367  , 0  , 55.932  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:32:03 
 442 ,PASS ,  1.409  , 0  , 0.952  , 0.007  , 0  , 0.034  , 3.34  , 0  , 3.343  , 0  , 0  , 0  , 6.4  , 0  , 11.2  , 0  , 0  , 0  , 772.121  , 0  , 112.988  , 3.667  , 0  , 4.062  , 3.324  , 3.321  , 3.319  , 0  , 0  , 0  , 17.6  , 0  , 21.6  , 0  , 0  , 0  , 90.3736  , 0  , 81.75776  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 384.962  , 0  , 56.084  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:32:27 
